Happiness_score,Dystopia,Freedom_to_make_life_choices,Generosity,Social_support,Personal_Rights,Personal_Freedom
1.662599461,0.56815069,0.523396254,0.157254883,0.731163852,2.248012369,ozgur
1.849556568,0.961646434,0.525114174,0.326425639,0.7811859,1.360976553,ozgur
1.456519806,0.544647172,0.506543648,0.298511133,0.648223212,2.091940264,yari_ozgur
1.957132655,1.06436585,0.566209607,0.380954444,0.783882357,1.671254193,ozgur_degil
1.666385193,0.617345467,0.409433508,0.404128204,0.685049437,2.209781619,ozgur
1.726509584,0.483043243,0.467386936,0.419089607,0.724396222,2.151221078,yari_ozgur
1.888432356,0.896904018,0.531048117,0.259782426,0.787319163,2.221031424,ozgur
2.01783206,0.838977629,0.58288669,0.467386936,0.808879896,2.23243655,ozgur
1.654411278,0.276873874,0.555974709,0.35937577,0.7811859,2.2919222,ozgur
1.793091914,0.828551818,0.515536636,0.327358212,0.758007244,2.0651775,yari_ozgur
1.554981727,0.53180403,0.425945102,0.306871056,0.692396335,1.948657688,yari_ozgur
1.792259344,0.998791953,0.505169902,0.246301173,0.735822609,1.668596026,yari_ozgur
1.724728957,0.306013029,0.525969332,0.273564883,0.795396361,2.081468677,yari_ozgur
1.495148766,0.70111535,0.494410273,0.444342191,0.657547858,2.260459317,ozgur
2.010761121,0.887891257,0.580051134,0.402109315,0.806907632,1.500857173,ozgur_degil
1.862839051,0.69614269,0.522101092,0.307892799,0.778468601,2.280974742,ozgur
1.455353897,0.405465108,0.442039813,0.208946448,0.562836549,2.227348036,ozgur
1.938885534,0.70111535,0.559806204,0.457206513,0.794652727,2.086038455,yari_ozgur
1.415853163,0.456158222,0.501008292,0.410088851,0.660045139,2.264953851,ozgur
1.6538375,0.559044196,0.269903975,0,0.748157847,2.191637927,yari_ozgur
1.864700094,1.062639628,0.547368216,0.426559347,0.751752852,2.14268903,yari_ozgur
1.254760971,0.439544422,0.464213285,0.415271209,0.63624969,1.999467189,yari_ozgur
1.644998088,0.725614371,0.463680712,0.395952212,0.727345377,1.915298003,ozgur_degil
1.672224901,0.539996001,0.350321279,0.246301173,0.769588998,1.956011503,yari_ozgur
2.015436212,0.842859454,0.583239295,0.524685648,0.819450151,2.077249242,yari_ozgur
1.462097325,0.418052224,0.522101092,0.393165634,0.625045912,2.263117599,ozgur
1.660511183,0.356974899,0.510174883,0.577907071,0.755519021,2.140412065,yari_ozgur
1.545858931,0.404798219,0.404797551,0.483717439,0.611829161,2.083642593,yari_ozgur
1.942619025,0.573236884,0.563589388,0.503327839,0.810129319,1.462118136,ozgur_degil
1.975884954,1.030333448,0.492976039,0.453909984,0.776122628,2.266783384,ozgur
1.785741397,0.594982932,0.409433508,0.347788457,0.789403062,2.177070716,ozgur
1.430311247,0.612479277,0.512421163,0.370411331,0.668503443,2.188946552,yari_ozgur
1.669780141,0.477475644,0.52382669,0.394562871,0.77454988,1.993843455,ozgur_degil
1.778336449,0.309688153,0.537274802,0.298511133,0.78769897,2.151694595,ozgur
1.674476309,0.582774123,0.498669554,0.346937871,0.748157847,2.225192986,ozgur
1.761128426,0.579418415,0.507455805,0.371180104,0.777688352,1.898418298,yari_ozgur
1.515786356,0.501986675,0.51464995,0.511075514,0.709729361,1.665566254,yari_ozgur
1.809108108,0.494696242,0.533138436,0.390347041,0.752593328,1.981262994,yari_ozgur
1.610237593,0.429832465,0.515536636,0.503789478,0.779635733,1.848547804,yari_ozgur
1.766441661,0.690142672,0.451689505,0.330132284,0.781765455,1.941811765,yari_ozgur
1.653454798,0.527682741,0.430214436,0.414629191,0.724168302,2.181421908,yari_ozgur
1.337104117,0.357674444,0.48569237,0.333777362,0.737580826,1.958206677,yari_ozgur
1.262147368,0.514618422,0.455563319,0.41655039,0.659491841,2.048670036,yari_ozgur
1.775291277,0.801104322,0.394562871,0.09531018,0.794838782,2.062517705,ozgur_degil
1.643839339,0.480572581,0.451689505,0.408117672,0.741504171,2.227348036,yari_ozgur
1.293081979,0.460584407,0.360984556,0.376492889,0.6706512,2.031168883,ozgur_degil
1.378766095,0.73332897,0.520800103,0.429001807,0.540135958,2.027108386,ozgur_degil
1.805662374,0.695145183,0.491052232,0.498199472,0.757800572,2.109680318,yari_ozgur
1.432700734,0.511625304,0.440881033,0.356124287,0.756972653,1.88718442,yari_ozgur
